"No.","Time","Source","Destination","Protocol","Length","Info","src port","dest port","hard src addr","hard dest addr","UTC time","The RTT to ACK the segment was"
"28","0.357407","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=57/14592, ttl=128 (reply in 36)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:04.302099",""
"36","0.416268","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=57/14592, ttl=254 (request in 28)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:04.360960",""
"110","1.379452","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=58/14848, ttl=128 (reply in 111)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:05.324144",""
"111","1.390987","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=58/14848, ttl=254 (request in 110)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:05.335679",""
"208","2.401360","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=59/15104, ttl=128 (reply in 209)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:06.346052",""
"209","2.405440","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=59/15104, ttl=254 (request in 208)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:06.350132",""
"318","3.431203","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=60/15360, ttl=128 (reply in 319)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:07.375895",""
"319","3.435244","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=60/15360, ttl=254 (request in 318)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:07.379936",""
"406","4.451718","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=61/15616, ttl=128 (reply in 418)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:08.396410",""
"418","4.469887","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=61/15616, ttl=254 (request in 406)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:08.414579",""
"488","5.466117","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=62/15872, ttl=128 (reply in 489)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:09.410809",""
"489","5.472358","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=62/15872, ttl=254 (request in 488)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:09.417050",""
"590","6.471603","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=63/16128, ttl=128 (reply in 591)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:10.416295",""
"591","6.476417","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=63/16128, ttl=254 (request in 590)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:10.421109",""
"676","7.495227","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=64/16384, ttl=128 (reply in 677)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:11.439919",""
"677","7.510472","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=64/16384, ttl=254 (request in 676)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:11.455164",""
"771","8.512072","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=65/16640, ttl=128 (reply in 780)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:12.456764",""
"780","8.560838","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=65/16640, ttl=254 (request in 771)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:12.505530",""
"851","9.534069","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=66/16896, ttl=128 (reply in 858)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:13.478761",""
"858","9.667496","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=66/16896, ttl=254 (request in 851)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:13.612188",""
"886","10.549403","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=67/17152, ttl=128 (reply in 887)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:14.494095",""
"887","10.553148","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=67/17152, ttl=254 (request in 886)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:14.497840",""
"950","11.556630","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=68/17408, ttl=128 (reply in 952)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:15.501322",""
"952","11.689004","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=68/17408, ttl=254 (request in 950)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:15.633696",""
"959","12.581060","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=69/17664, ttl=128 (reply in 960)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:16.525752",""
"960","12.617152","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=69/17664, ttl=254 (request in 959)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:16.561844",""
"963","13.605727","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=70/17920, ttl=128 (reply in 964)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:17.550419",""
"964","13.626493","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=70/17920, ttl=254 (request in 963)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:17.571185",""
"965","14.629907","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=71/18176, ttl=128 (reply in 966)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:18.574599",""
"966","14.635704","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=71/18176, ttl=254 (request in 965)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:18.580396",""
"969","15.652998","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=72/18432, ttl=128 (reply in 970)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:19.597690",""
"970","15.659758","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=72/18432, ttl=254 (request in 969)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:19.604450",""
"971","16.676525","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=73/18688, ttl=128 (reply in 972)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:20.621217",""
"972","16.684367","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=73/18688, ttl=254 (request in 971)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:20.629059",""
"975","17.691902","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=74/18944, ttl=128 (reply in 976)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:21.636594",""
"976","17.703206","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=74/18944, ttl=254 (request in 975)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:21.647898",""
"979","18.703814","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=75/19200, ttl=128 (reply in 980)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:22.648506",""
"980","18.711708","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=75/19200, ttl=254 (request in 979)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:22.656400",""
"992","19.709930","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=76/19456, ttl=128 (reply in 993)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:23.654622",""
"993","19.722389","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=76/19456, ttl=254 (request in 992)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:23.667081",""
"995","20.725956","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=77/19712, ttl=128 (reply in 997)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:24.670648",""
"997","20.849613","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=77/19712, ttl=254 (request in 995)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:24.794305",""
"1171","21.745749","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=78/19968, ttl=128 (reply in 1172)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:25.690441",""
"1172","21.753153","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=78/19968, ttl=254 (request in 1171)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:25.697845",""
"1194","22.759889","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=79/20224, ttl=128 (reply in 1195)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:26.704581",""
"1195","22.767947","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=79/20224, ttl=254 (request in 1194)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:26.712639",""
"2522","23.770188","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=80/20480, ttl=128 (reply in 2617)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:27.714880",""
"2617","23.826648","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=80/20480, ttl=254 (request in 2522)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:27.771340",""
"3588","24.779872","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=81/20736, ttl=128 (reply in 3652)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:28.724564",""
"3652","25.015076","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=81/20736, ttl=254 (request in 3588)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:28.959768",""
"4479","25.793891","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=82/20992, ttl=128 (reply in 4536)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:29.738583",""
"4536","25.907095","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=82/20992, ttl=254 (request in 4479)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:29.851787",""
"4754","26.809023","172.20.0.41","172.20.0.1","ICMP","1442","Echo (ping) request  id=0x0001, seq=83/21248, ttl=128 (reply in 4774)","","","ChongqingFug_3f:bf:53","Cisco_61:f5:1f","01:26:30.753715",""
"4774","26.915804","172.20.0.1","172.20.0.41","ICMP","1442","Echo (ping) reply    id=0x0001, seq=83/21248, ttl=254 (request in 4754)","","","Cisco_61:f5:1f","ChongqingFug_3f:bf:53","01:26:30.860496",""
